,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,,Confidence Rating
b,"True or False: Almost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.",4fc292a0-59a9-13d6-8052-8f17144fbbc1,415309,0,3,3,5,3,3,4,4,,1
b,"True or False: If A can be stored inside B, then A is smaller than B.",f050e340-5097-13d6-8052-8f17144fbbc1,411209,0,0,0,5,3,0,3,4,,1
b,True or False: The sound a flying bee makes is the same as the sound a piano makes.,9e85ed80-53d5-13d6-8052-8f17144fbbc1,412293,0,0,0,0,2,0,4,4,,3
b,True or False: A dream is not a physical object.,081e7600-50b5-13d6-8052-8f17144fbbc1,411315,0,0,0,0,4,0,4,4,,3
b,True or False: Fish can breathe with gills.,6a0da4ce-48ba-13d6-80fb-b947c0cf9f4c,410763,0,0,0,0,5,0,4,0,,5
b,True or False: It is common to find books in libraries.,942f7378-5cd9-13d6-80dc-9b4eb6100834,416617,0,0,0,5,3,0,4,0,,5
b,True or False: Wood is never used in building homes.,2c288300-55d9-13d6-8052-8f17144fbbc1,415090,3,0,0,2,3,4,4,0,,3
b,"True or False: If you throw a very fragile object against something as tough as wood, it will probably be damaged.",5270b2ae-4a84-13d6-80fb-b947c0cf9f4c,411053,0,3,3,0,5,0,4,0,,3
b,True or False: The sound of a balloon popping never startles anyone.,764d4b20-5258-13d6-8052-8f17144fbbc1,412019,3,3,3,0,0,3,0,0,,1
b,True or False: Devices for bathing are typically not found outside rooms designed for bathing.,63ceb24e-4a7a-13d6-80fb-b947c0cf9f4c,411010,0,3,0,3,0,0,4,4,,1
b,True or False: Most people like to injure themselves.,2e1ed560-5584-13d6-8052-8f17144fbbc1,414683,0,0,0,0,0,3,4,0,,1
b,True or False: An open container can only hold a liquid if it is right side up.,5297196e-48a2-13d6-80fb-b947c0cf9f4c,410680,0,0,0,4,4,0,3,4,,1
b,True or False: Chocolate milk and regular milk are different colors.,289c9cc0-50ad-13d6-8052-8f17144fbbc1,411278,0,3,0,0,3,0,0,4,,3
b,True or False: Rooms in buildings typically aren't underwater.,43cabc40-50a1-13d6-8052-8f17144fbbc1,411254,0,3,0,4,0,0,0,4,,3
b,True or False: Clothing items usually aren't edible by humans.,ac9cad40-509d-13d6-8052-8f17144fbbc1,411237,0,3,0,0,3,0,0,3,,
